TEMPO,Vi(t),Vo(t)
0.0,5,0.0
0.5,5,0.125
1.0,5,0.36875
1.5,5,0.71609375
2.0,5,1.144484375
2.5,5,1.626423828125
3.0,5,2.13246025390625
3.5,5,2.634279709472656
4.0,5,3.107423767578125
4.5,5,3.5332534198730468
5.0,5,3.899940064904785
5.5,5,4.202456547055969
6.0,5,4.441719582939179
6.5,5,4.623160718483946
7.0,5,4.755054467014565
7.5,5,4.846909041884103
8.0,5,4.908145425130462
8.5,5,4.947183619450016
9.0,5,4.970950990697508
9.5,5,4.9847492701161915
10.0,5,4.992374635058096
10.5,5,4.996377951652596
11.0,5,4.998370078243668
11.5,5,4.999307283253559
12.0,5,4.999722913301424
12.5,5,4.999896092488034
13.0,5,4.999963632370812
13.5,5,4.999988180520514
14.0,5,4.999996454156154
14.5,5,4.999999024892943
15.0,5,4.999999756223236
15.5,5,4.999999945150228
16.0,5,4.999999989030046
16.5,5,4.999999998080258
17.0,5,4.999999999712038
17.5,5,4.999999999964005
18.0,5,4.9999999999964
18.5,5,4.99999999999973
19.0,5,4.999999999999987
19.5,5,5.0
20.0,5,5.0
20.5,5,5.0
21.0,5,5.0
21.5,5,5.0
22.0,5,5.0
22.5,5,5.0
23.0,5,5.0
23.5,5,5.0
24.0,5,5.0
24.5,5,5.0
